id,length,starting_pitch,sequence
641,8,S,"S, B, B, F, F, B, F, S"
642,8,S,"S, B, B, F, F, B, F, C"
643,8,S,"S, B, B, F, F, F, B, S"
644,8,S,"S, B, B, F, F, F, B, C"
645,8,S,"S, B, B, F, F, F, F, S"
646,8,S,"S, B, B, F, F, F, F, C"
647,8,S,"S, B, F, B, B, F, F, S"
648,8,S,"S, B, F, B, B, F, F, C"
649,8,S,"S, B, F, B, F, B, F, S"
650,8,S,"S, B, F, B, F, B, F, C"
651,8,S,"S, B, F, B, F, F, B, S"
652,8,S,"S, B, F, B, F, F, B, C"
653,8,S,"S, B, F, B, F, F, F, S"
654,8,S,"S, B, F, B, F, F, F, C"
